item_id,outperformed
1GGIvckYLY0,true
2Sz_nXyeDNw,false
2sMRsb_wYQc,false
36nAe83W_yU,true
5RBt83_DIXA,true
62yKxIuD2mQ,false
6MSIUtiwboo,true
86XhUQxqhjk,false
88KebtvBMl4,true
BiQzF-8iDI4,true
BxEnLrH2meQ,false
CRUeRs4QaO0,false
CtJhp8688MQ,false
CvflZZb1YPE,true
EnQE-Jd9U6I,true
GcllL9rO9Hw,true
HX2X5rd9DxM,true
HrdUlwul588,false
ISyFY_LoDj0,true
It7pR4UT5Y0,true
JFFcNwQ_png,false
JP3_ma26rXU,false
K2e6N9C1ubs,true
KLBB-qX4leU,false
LJkwXCkyCMA,true
P-vziQFj0z8,true
PxsLl1fy2R0,true
VibtRnxM2e4,true
YPeEAAYUvck,true
YZnbY1CIbiY,false
_TPKQ4hIgaQ,true
_sE2HnuEAac,false
bMctDn708RQ,true
cD7Ab9KJiAI,false
cQAqVxoPe-U,false
cWq1TYoyyyk,false
d6KMN5TfMzc,true
dwOczOx1EWw,false
fmO4_v1AT5E,false
hZ-KToQiZUA,true
hdknCZxQ8R8,false
hukdEaAIVXE,false
igpY3U03gqo,false
lmIaTgyzVrQ,false
nLKGOwB7v7I,false
