agent_id,model,route_chosen,pacing_chosen,total_time_min,energy_consumed,total_cost_usd,total_latency_ms,accuracy_pct,cost_per_correct_usd,on_time
agent-0001,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.46,11.9,0.001671,774.7,100.0,0.000835,True
agent-0002,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.42,11.9,0.000538,819.0,100.0,0.000269,True
agent-0003,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.14,14.28,5.1e-05,579.9,50.0,5.1e-05,True
agent-0004,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.46,14.28,5.3e-05,636.2,50.0,5.3e-05,True
agent-0005,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.63,11.9,0.00051,757.8,100.0,0.000255,True
agent-0006,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.13,11.9,0.000627,729.7,100.0,0.000313,True
agent-0007,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.45,11.9,0.000618,822.0,100.0,0.000309,True
agent-0008,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.79,11.9,0.001605,799.6,100.0,0.000803,True
agent-0009,anthropic/claude-haiku-4-5,Metro Transit Grid Delta,Standard,8.06,14.56,0.00055,661.7,50.0,0.00055,False
agent-0010,google/gemini-2.0-flash,Metro Transit Grid Delta,Standard,7.57,14.56,5.6e-05,720.6,50.0,5.6e-05,False
agent-0011,google/gemini-2.0-flash,Mountain Pass Beta,Conserve,7.61,9.52,4.7e-05,653.8,50.0,4.7e-05,True
agent-0012,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.49,11.9,0.000594,744.1,100.0,0.000297,True
agent-0013,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.41,11.9,4.8e-05,599.1,100.0,2.4e-05,True
agent-0014,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.56,11.9,0.00059,654.0,100.0,0.000295,True
agent-0015,google/gemini-2.0-flash,Valley Highway Gamma,Standard,5.28,12.0,5.6e-05,534.8,50.0,5.6e-05,False
agent-0016,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.11,14.28,5.1e-05,721.2,50.0,5.1e-05,True
agent-0017,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.31,11.9,0.001689,792.2,100.0,0.000844,True
agent-0018,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.08,11.9,0.000552,820.7,100.0,0.000276,True
agent-0019,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.19,11.9,5.5e-05,660.3,100.0,2.8e-05,True
agent-0020,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.22,11.9,5.2e-05,662.4,100.0,2.6e-05,True
agent-0021,google/gemini-2.0-flash,Mountain Pass Beta,Push,5.49,14.28,5.3e-05,608.9,50.0,5.3e-05,True
agent-0022,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.35,11.9,0.000631,711.8,100.0,0.000316,True
agent-0023,anthropic/claude-haiku-4-5,Mountain Pass Beta,Conserve,9.35,9.52,0.000534,684.0,50.0,0.000534,True
agent-0024,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.36,11.9,0.000533,649.5,100.0,0.000267,True
agent-0025,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,8.01,11.9,0.001827,791.7,100.0,0.000914,True
agent-0026,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.43,11.9,0.000521,792.0,100.0,0.00026,True
agent-0027,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.72,11.9,0.000583,730.1,100.0,0.000291,True
agent-0028,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.72,11.9,0.001638,744.6,100.0,0.000819,True
agent-0029,anthropic/claude-haiku-4-5,Valley Highway Gamma,Standard,5.92,12.0,0.000485,729.6,50.0,0.000485,False
agent-0030,anthropic/claude-haiku-4-5,Expressway Alpha,Standard,6.01,13.2,0.000545,629.4,50.0,0.000545,False
agent-0031,google/gemini-2.0-flash,Expressway Alpha,Standard,5.18,13.2,5.7e-05,584.1,50.0,5.7e-05,False
agent-0032,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.63,11.9,0.001722,841.6,100.0,0.000861,True
agent-0033,google/gemini-2.0-flash,Mountain Pass Beta,Standard,6.07,11.9,5e-05,582.5,100.0,2.5e-05,True
agent-0034,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.63,11.9,0.000586,729.2,100.0,0.000293,True
agent-0035,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,7.37,11.9,0.00052,795.8,100.0,0.00026,True
agent-0036,anthropic/claude-haiku-4-5,Mountain Pass Beta,Standard,6.72,11.9,0.000514,649.9,100.0,0.000257,True
agent-0037,google/gemini-2.0-flash,Valley Highway Gamma,Standard,5.42,12.0,5.1e-05,637.4,50.0,5.1e-05,False
agent-0038,anthropic/claude-sonnet-5,Mountain Pass Beta,Standard,7.97,11.9,0.001713,743.7,100.0,0.000857,True
